id,title,company,location,url,salary_raw,description,city,insights,scraped_at,enriched_at
1,Software Engineer - Data & ML Infrastructure,"Advanced Micro Devices, Inc","Markham, ON",,Not listed,"WHAT YOU DO AT AMD CHANGES EVERYTHING

At AMD, our mission is to build great products that accelerate next-generation computing experiences—from AI and data centers, to PCs, gaming and embedded systems. Grounded in a culture of innovation and collaboration, we believe real progress comes from bold ideas, human ingenuity and a shared passion to create something extraordinary. When you join AMD, you’ll discover the real differentiator is our culture. We push the limits of innovation to solve the world’s most important challenges—striving for execution excellence, while being direct, humble, collaborative, and inclusive of diverse perspectives. Join us as we shape the future of AI and beyond. Together, we advance your career.

THE ROLE:

We are looking for an experienced Software Engineer with a strong interest in data infrastructure, automation and applied machine learning.

This role is critical to building AMD’s next-generation data pipeline and analytics infrastructure to support AI workloads and GPU validation.

You will design and implement scalable, high-performance data systems that collect, process, and analyze GPU telemetry, performance, and power data.

You will work closely with firmware, software, and infrastructure teams to transform raw data into actionable insights and predictive intelligence.

THE PERSON:

You are passionate about software development with creative and effective problem-solving skills, a motivated, self-starter who can work both independently an",Toronto,"{'summary': ""A soulless corporate cog seeking to perpetuate AMD's tired, cookie-cutter data infrastructure, without any hint of innovation or creativity."", 'vibe': 'corporate_zombie', 'red_flags': ['overemphasis on bureaucracy', 'lack of autonomy', 'unoriginal task description'], 'green_flags': ['GPU experience', 'data infrastructure focus', 'AI/ML potential'], 'seniority': 'mid', 'match_score': 42}",2025-11-29 11:17:52.638054,2025-11-29 11:17:52.638054
2,AI / Data Engineer,Accenture,"Mississauga, ON",,Not listed,"We are:

The Advanced Technology Centers (ATCs) is the engine for reinvention in our clients’ transformation journey. Powered by more than 255,000* people across 24 countries, ATCs will provide our clients seamless access to industry insights and innovative technology solutions.

Stronger together!

The Advanced Technology Centers (ATCs) make tremendous impact in solving our clients’ business problems leveraging Innovation, Intelligence, Industry insights, new IT and new technology skills. Now, with the global environment changing at a faster pace, our clients are facing unprecedented challenges, and they need us more than ever before. As a Network, ATCs are positioned to unlock greater opportunities and exponential value for our clients.

The value for our clients and our people

For our clients, the Network provides the strength of our geographic diversity, greater resilience, and seamless access to the deepest industry knowledge, the latest in Gen AI solutions, and tech expertise from around the world.

For our people, it brings an opportunity to shape truly boundaryless career paths in a highly collaborative team of experts where they can learn from each other and solve the world’s most complex client challenges

This role is in our Local ATCs and will require on-site work 2-3 days per week.

About the Job:

You will be the analytical backbone of our marketing and operations teams. Your in-depth data reporting and data insights on ecommerce and digital channels will drive",Toronto,"{'summary': 'Another soul-sucking corporate role where data engineers go to forget their startup dreams.', 'vibe': 'corporate_zombie', 'red_flags': ['on-site work required', ""Accenture's bureaucratic reputation"", ' ATCs sounds like a nebulous org structure'], 'green_flags': ['global network access', 'deep industry knowledge', 'AI/ML opportunities'], 'seniority': 'junior', 'match_score': 40}",2025-11-29 11:17:56.754588,2025-11-29 11:17:56.754588
3,AWS Data Engineer(10+Years),Quantum World Technologies Inc.,"Toronto, ON",,Not listed,"Primary Skills AWS Data Engineer - AWS Glue, Amazon Redshift, S3 ETL Process , SQl, Databricks
• Examining the business needs to determine the testing technique by automation testing.
• Maintenance of present regression suites and test scripts is an important responsibility of the tester.
• The testers must attend agile meetings for backlog refinement, sprint planning, and daily scrum meetings.
• Testers to execute regression suites for better results.
• Must provide results to developers, project managers, stakeholders, and manual testers.

Responsibility:
• AWS Data Engineer Design and build scalable data pipelines using AWS services like AWS Glue, Amazon Redshift, and S3.
• Develop efficient ETL processes for data extraction, transformation, and loading into data warehouses and lakes.
• Create and manage applications using Python, SQL, Databricks, and various AWS technologies.

Automate repetitive tasks and build reusable frameworks to improve efficiency.",Toronto,"{'summary': ""A job that's equal parts testing and engineering, but somehow still thinks calling itself a 'Data Engineer' is a thing."", 'vibe': 'startup_chaos', 'red_flags': ['Misaligned expectations', 'Overemphasis on testing', 'Inadequate seniority'], 'green_flags': ['AWS experience', 'Databricks exposure', 'Python skills'], 'seniority': 'mid', 'match_score': 60}",2025-11-29 11:18:01.121952,2025-11-29 11:18:01.121952
4,"Senior Software Engineer - SRE, Backend (Reliability Engineering)",Affirm,"Toronto, ON",,Not listed,"Affirm is reinventing credit to make it more honest and friendly, giving consumers the flexibility to buy now and pay later without any hidden fees or compounding interest.

Site Reliability Engineering at Affirm is a small, yet crucial, team that helps our Engineering partners to ""Operate What They Own"" with excellence to protect their customers' experience. SRE accomplishes this through defining frameworks and best practices for operating applications, building tooling, and providing training and consulting. Some of the many SRE responsibilities are:
• Providing data and visibility to teams and leadership on application performance
• Guiding the development of SLOs
• Driving the Incident Management and Analysis process
• Steering the implementation of Change Management and Deployment practices
• Engaging in service and architectural conversations
• Recommending observability and alerting configurations

The SRE team benefits from experience across many domains including:
• infrastructure, platform, and distributed systems
• capacity management, load and chaos testing
• automation, observability, and configuration management
• development and product experience

The SRE team is seeking motivated software engineers with the experience to build and expand reliability and resilience practices throughout Affirms Engineering organization and beyond.

What You'll Do
• You will be responsible for owning and delivering quarterly goals for your team, leading engineers on your team th",Toronto,"{'summary': ""You'll be a glorified babysitter for overworked engineers trying to ship features instead of focusing on actual reliability"", 'vibe': 'corporate_zombie', 'red_flags': ['Overly broad scope for a single engineer', ""Too much focus on 'operating what they own'"", 'Lack of concrete metrics for success'], 'green_flags': ['Strong focus on observability and alerting', 'Mention of chaos testing and capacity management', 'Emphasis on building and expanding reliability practices'], 'seniority': 'mid', 'match_score': 58}",2025-11-29 11:18:05.297383,2025-11-29 11:18:05.297383
5,"Principal Associate, Software Engineer",Posting Date:25/ 11/2025,"Toronto, ON",,Not listed,"161 Bay Street (93021), Canada, Toronto,Toronto, Ontario,

Principal Associate, Software Engineer

Principal Associate, Software Engineer

About Capital One Canada.

For over 20 years, we’ve been on a mission to change banking for good and build relationships by making credit accessible, simple, intuitive and rewarding. We want to help Canadians succeed with credit, because we believe in people — in our customers, in our associates, and in talent like you!

A day in the life of a Capital One Software Engineer.

You’ll work alongside other Software Engineers on innovative projects. You’ll have the opportunity to learn, design and build software products from the ground up.

Here are a few of the ways we’re helping people take control of their credit:
• Helping customers view and monitor their credit scores with Credit Keeper
• Enabling customers to view and edit their Personal Information directly in the Mobile App
• Providing customers 100% certainty which credit cards they’ll be approved for before they apply, by using Quick Check™

We’re all-in on the cloud and we’re leaders in the adoption of open source technologies, RESTful APIs, microservices, and containers. We build our own products and release them with a speed and agility that allows us to get new customer experiences to market quickly. And, as a founder-led company, we’re inspired to make, break, do, and do good. So, let’s do something great together.

Want to learn more? Check out life at Capital One in the Softwa",Toronto,"{'summary': 'A glorified junior role at a stagnant bank trying to cling to innovation', 'vibe': 'corporate_zombie', 'red_flags': ['Overemphasis on legacy systems and processes', 'Limited opportunities for real innovation', 'Too much bureaucracy'], 'green_flags': ['Chance to work on cloud and open source technologies', 'Decent benefits and salary for the area', 'Variety in projects'], 'seniority': 'principal', 'match_score': 42}",2025-11-29 11:18:09.505959,2025-11-29 11:18:09.505959
6,Software Engineer (Backend) – Labs Legal Tech,Thomson Reuters,"Toronto, ON (+3 others)",,Not listed,"Software Engineer (Backend) – Labs Legal Tech

Are you a seasoned software engineer with expertise in cloud-based system design and implementation? Thomson Reuters Labs is offering an exciting opportunity to join a cutting-edge team processing millions of documents monthly using advanced AI/ML technologies, including Large Language Models (LLMs). Our services power innovative applications like CoCounsel. As a senior engineer in this role, you'll spearhead the design, planning, implementation, and deployment of new services while maintaining and supporting existing ones. You'll be at the forefront of applying AI technologies to legal and business information processing, driving innovation in a fast-paced, high-impact environment. 

About the Role:  

In this opportunity as Software Engineer (Backend), you will:  
• Contribute to technical decision-making, influencing the direction of our product design, cloud infrastructure, and application architecture. 
• Implement scalable cloud-based solutions that process millions of documents using cutting-edge AI/ML technologies, including LLMs. 
• Collaborate cross-functionally with engineers, product managers, scientists, legal experts, and stakeholders to deliver innovative, market-leading software products. 
• Collaborate on initiatives with autonomy, contributing to a culture of excellence, self-organization, and continuous improvement. 
• Stay at the forefront of evolving technologies, adapting swiftly to changes in cloud platform",Toronto,"{'summary': ""Join a behemoth of a company, stuck in a slow-moving bureaucracy, where innovation is only tolerated if it doesn't rock the boat."", 'vibe': 'faang_tier', 'red_flags': ['Lack of ownership and autonomy', 'Bureaucratic red tape', 'Overemphasis on legacy tech', 'Unclear vision and direction'], 'green_flags': ['Cutting-edge tech stack', 'Opportunity to work on large-scale projects', 'Diverse team with multiple disciplines'], 'seniority': 'senior', 'match_score': 42}",2025-11-29 11:18:14.092389,2025-11-29 11:18:14.092389
7,Senior Software Engineer - Web,Scotiabank,"Toronto, ON",,Not listed,"Requisition ID: 242811

Join a purpose driven winning team, committed to results, in an inclusive and high-performing culture.

The successful candidate will have the opportunity to join challenging projects, utilizing new technologies with a focused, talented group of developers, automated testing specialists, business users and architects.

Is this role right for you? In this role you will:
• Champions a customer focused culture to deepen client relationships and leverage broader Bank relationships, systems and knowledge.
• Understand how the Bank’s risk appetite and risk culture should be considered in day-to-day activities and decisions.
• Actively pursues effective and efficient operations of his/her respective areas in accordance with Scotiabank’s Values, its Code of Conduct and the Global Sales Principles, while ensuring the adequacy, adherence to and effectiveness of day-to-day business controls to meet obligations with respect to operational, compliance, AML/ATF/sanctions and conduct risk.
• Champions a high-performance environment and contributes to an inclusive work environment.

Do you have the skills that will enable you to succeed in this role? We’d love to work with you if you have:
• Full Stack developer with 5+ years of progressive experience working in the IT industry in roles like developer and team lead
• Current on industry best practice and secure coding
• Analyze and oversee the team’s development efforts working towards successful code delivery
• Provi",Toronto,"{'summary': ""This is a soul-sucking corporate job for a senior engineer who's been watered down to a mere 'champion' of a 'customer-focused culture' in a bank that still thinks 'focusing on customers' is a revolutionary idea."", 'vibe': 'corporate_zombie', 'red_flags': ['Watered down senior role', 'Cringeworthy corporate jargon', 'No clear tech challenges'], 'green_flags': ['Scotiabank has a decent reputation', 'Toronto is a nice city', 'Full stack dev opportunity'], 'seniority': 'mid', 'match_score': 42}",2025-11-29 11:18:17.967804,2025-11-29 11:18:17.967804
8,Software Engineer - Applied ML (US/CAN),Cohere,"Toronto, ON",,Not listed,"Who are we?

Our mission is to scale intelligence to serve humanity. We’re training and deploying frontier models for developers and enterprises who are building AI systems to power magical experiences like content generation, semantic search, RAG, and agents. We believe that our work is instrumental to the widespread adoption of AI.

We obsess over what we build. Each one of us is responsible for contributing to increasing the capabilities of our models and the value they drive for our customers. We like to work hard and move fast to do what’s best for our customers.

Cohere is a team of researchers, engineers, designers, and more, who are passionate about their craft. Each person is one of the best in the world at what they do. We believe that a diverse range of perspectives is a requirement for building great products.

Join us on our mission and shape the future!

Why this role?

We are looking for a skilled Applied AI Software Engineer to join our Applied ML team, supporting the development and deployment of custom LLMs and AI agents. In this role, you will work directly with our customers and collaborate closely with machine learning teams and platform teams to deliver impactful LLM-based enterprise solutions.

This is a unique opportunity to work at the cutting edge of AI technologies, including RAG systems, agent frameworks, and modern LLM tooling to disrupt some of the most important industries and institutions globally!

What You’ll Do
• Design and build Agentic AI ",Toronto,"{'summary': ""Join a team of AI overlords who will burn you out with unrealistic expectations and unrelenting pace, all while pretending to be a 'hidden gem'."", 'vibe': 'faang_tier', 'red_flags': ['inconsistent tech stack', 'high turnover rate', 'overemphasis on customer satisfaction', 'insanely high bar for innovation'], 'green_flags': ['visionary mission', 'state-of-the-art tech', 'impressive team'], 'seniority': 'junior', 'match_score': 42}",2025-11-29 11:18:22.282935,2025-11-29 11:18:22.282935
9,Sr. Software Engineer,Softchoice,"Toronto, ON",,Not listed,"Why you’ll love Softchoice:
We are a software-focused IT solutions and services provider that equips organizations to be agile and innovative, and for their people to be engaged, connected, and creative at work. That means moving them to the cloud, helping them build the workplace of tomorrow, and enabling them to make smarter decisions about their technology. By doing these things we help them create success for their customers and their people.

We stand proudly for our people and support their success through career development and advancement. We are recognized and respected for our culture of inclusion and belonging, continuously striving to do what’s good for our people and communities.

The impact you will have:

Softchoice is on a mission to help our clients unleash the power of AI and cloud-native software. We are hiring a Sr. Software Engineer AI to spearhead the development of AI-driven solutions that empower businesses with intelligent automation, data-driven insights, and next-generation software applications. If you have a passion for cutting-edge AI, cloud-native development, and scalable software solutions, we would love to have you on board.

Your work will span:
• Customer projects focused on advanced AI-driven solutions and cloud development.
• Internal projects dedicated to building Softchoice intellectual property (IP) and innovative AI-based software that differentiates us in the market.

These initiatives will encompass AI model development, cloud AI de",Toronto,"{'summary': 'A soulless corporate job at a mid-tier firm with a weak AI focus, lacking the innovation of FAANG or the agility of a startup.', 'vibe': 'corporate_zombie', 'red_flags': ['overemphasis on IP over innovation', 'cloud AI development with unclear goals', 'no mention of open-source or community involvement'], 'green_flags': ['employee development programs', 'inclusion and belonging culture', 'cloud-native development opportunities'], 'seniority': 'mid', 'match_score': 42}",2025-11-29 11:18:26.370124,2025-11-29 11:18:26.370124
10,"Senior Software Engineer, Data",Affinity.co,"Toronto, ON",,Not listed,"Canada (Remote); Toronto, Ontario

Affinity stitches together billions of data points from massive datasets to create a powerful, accurate representation of the world's professional relationship graph. Based on this data, we offer our users the insights and visibility they need to nurture and tap into their team's network of opportunities.

This role is part of the AI Insights team, which owns the services that power Affinity's industry-leading relationship intelligence platform. Our team extracts and retrieves information from billions of structured and unstructured data points to deliver insights to our customers.

As a Senior Software Engineer, Data, you will collaborate with machine learning engineers, software engineers, and product managers to shape the future of private capital's leading CRM platform. This involves designing and building scalable, efficient event streaming processing pipelines and batch processing pipelines to transform and load data into distributed data storage. You will play a key role in enhancing our frameworks to monitor data quality, safeguard data security, and implement best practices.

What you’ll be doing:
• Design scalable and reliable data pipelines to consume, integrate and analyze large volumes of complex data from different sources, supporting the evolving needs of our business.
• Help define our data roadmap. You'll collaborate with our team of machine learning engineers, software engineers, product, and business leaders to shape produ",Toronto,"{'summary': ""You'll be wrestling with a sea of messy data, trying to tame it into submission while pleasing the whims of business leaders, all while pretending to care about data quality and security."", 'vibe': 'faang_tier|startup_chaos|corporate_zombie', 'red_flags': ['lack of technical challenge', 'heavy business focus', 'potential for burnout'], 'green_flags': ['opportunity to work with machine learning engineers', 'large scale data processing experience', ' Toronto-based team'], 'seniority': 'mid', 'match_score': 42}",2025-11-29 11:18:30.47085,2025-11-29 11:18:30.47085
